tripminutes,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start hour,start day,weekday,day,age,tripminutes
9,584,2020-03-01 09:26:11.998,2020-03-01 09:35:56.440,3187,Warren St,40.721123600000006,-74.03805095,3209,Brunswick St,40.7241765,-74.05065640000001,42184,Subscriber,1982,1,9,1,6,Weekend,38,9
10,656,2020-03-01 09:29:03.277,2020-03-01 09:40:00.163,3203,Hamilton Park,40.727595965999996,-74.044247311,3639,Harborside,40.71925170000001,-74.034234,42363,Subscriber,1971,2,9,1,6,Weekend,49,10
7,451,2020-03-01 09:30:03.651,2020-03-01 09:37:35.567,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,42211,Subscriber,1989,1,9,1,6,Weekend,31,7
3,202,2020-03-01 09:32:37.031,2020-03-01 09:35:59.229,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3185,City Hall,40.717732500000004,-74.04384499999999,42486,Subscriber,1981,1,9,1,6,Weekend,39,3
13,795,2020-03-01 09:33:20.848,2020-03-01 09:46:36.505,3220,5 Corners Library,40.73496102000952,-74.05950307846071,3638,Washington St,40.7242941,-74.0354826,42582,Subscriber,1992,1,9,1,6,Weekend,28,13
5,316,2020-03-01 09:34:54.314,2020-03-01 09:40:10.869,3213,Van Vorst Park,40.71848892,-74.047726625,3203,Hamilton Park,40.727595965999996,-74.044247311,42172,Subscriber,1976,1,9,1,6,Weekend,44,5
9,595,2020-03-01 09:37:14.014,2020-03-01 09:47:09.333,3267,Morris Canal,40.7124188237569,-74.03852552175522,3209,Brunswick St,40.7241765,-74.05065640000001,42472,Subscriber,1990,1,9,1,6,Weekend,30,9
5,323,2020-03-01 09:39:01.597,2020-03-01 09:44:24.825,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3195,Sip Ave,40.73089709786179,-74.06391263008119,42235,Subscriber,1966,1,9,1,6,Weekend,54,5
37,2271,2020-03-01 09:40:51.731,2020-03-01 10:18:43.232,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42121,Subscriber,1971,2,9,1,6,Weekend,49,37
19,1148,2020-03-01 09:41:49.166,2020-03-01 10:00:57.589,3185,City Hall,40.717732500000004,-74.04384499999999,3213,Van Vorst Park,40.71848892,-74.047726625,42552,Subscriber,1991,2,9,1,6,Weekend,29,19
5,307,2020-03-01 09:42:47.831,2020-03-01 09:47:55.360,3681,Grand St,40.71517767732029,-74.03768330812454,3211,Newark Ave,40.72152515,-74.046304543,42252,Subscriber,1986,1,9,1,6,Weekend,34,5
2,124,2020-03-01 09:44:01.175,2020-03-01 09:46:05.569,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,42211,Subscriber,1989,1,9,1,6,Weekend,31,2
4,244,2020-03-01 09:46:21.253,2020-03-01 09:50:26.151,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3209,Brunswick St,40.7241765,-74.05065640000001,42270,Subscriber,1980,1,9,1,6,Weekend,40,4
2,135,2020-03-01 09:52:06.847,2020-03-01 09:54:22.462,3681,Grand St,40.71517767732029,-74.03768330812454,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42453,Subscriber,1978,1,9,1,6,Weekend,42,2
9,545,2020-03-01 09:52:46.004,2020-03-01 10:01:51.712,3483,Montgomery St,40.71942,-74.05099,3638,Washington St,40.7242941,-74.0354826,42247,Subscriber,1992,1,9,1,6,Weekend,28,9
4,245,2020-03-01 09:52:46.548,2020-03-01 09:56:52.482,3207,Oakland Ave,40.7376037,-74.05247829999999,3640,Journal Square,40.733670000000004,-74.0625,42361,Subscriber,1957,1,9,1,6,Weekend,63,4
7,445,2020-03-01 09:55:15.284,2020-03-01 10:02:40.925,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3639,Harborside,40.71925170000001,-74.034234,42339,Subscriber,1986,1,9,1,6,Weekend,34,7
3,221,2020-03-01 09:55:51.801,2020-03-01 09:59:33.007,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3185,City Hall,40.717732500000004,-74.04384499999999,42211,Subscriber,1988,1,9,1,6,Weekend,32,3
2,171,2020-03-01 09:55:55.898,2020-03-01 09:58:47.271,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42448,Subscriber,1982,1,9,1,6,Weekend,38,2
2,172,2020-03-01 09:57:40.892,2020-03-01 10:00:33.644,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,42466,Subscriber,1973,2,9,1,6,Weekend,47,2
4,296,2020-03-01 09:59:01.882,2020-03-01 10:03:58.593,3483,Montgomery St,40.71942,-74.05099,3209,Brunswick St,40.7241765,-74.05065640000001,42531,Subscriber,1982,1,9,1,6,Weekend,38,4
6,404,2020-03-01 10:00:37.521,2020-03-01 10:07:21.800,3206,Hilltop,40.7311689,-74.0575736,3210,Pershing Field,40.742677141,-74.051788633,42423,Subscriber,1990,1,10,1,6,Weekend,30,6
2,160,2020-03-01 10:05:58.346,2020-03-01 10:08:39.003,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,3203,Hamilton Park,40.727595965999996,-74.044247311,42466,Subscriber,1973,2,10,1,6,Weekend,47,2
4,261,2020-03-01 10:09:03.589,2020-03-01 10:13:24.885,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3203,Hamilton Park,40.727595965999996,-74.044247311,42490,Subscriber,1983,1,10,1,6,Weekend,37,4
3,227,2020-03-01 10:15:47.714,2020-03-01 10:19:34.758,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42307,Subscriber,1994,2,10,1,6,Weekend,26,3
5,315,2020-03-01 10:16:54.084,2020-03-01 10:22:09.816,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42245,Subscriber,1983,2,10,1,6,Weekend,37,5
4,297,2020-03-01 10:17:15.278,2020-03-01 10:22:12.840,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42625,Subscriber,1971,1,10,1,6,Weekend,49,4
4,274,2020-03-01 10:18:46.555,2020-03-01 10:23:20.987,3195,Sip Ave,40.73089709786179,-74.06391263008119,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,42235,Subscriber,1966,1,10,1,6,Weekend,54,4
4,289,2020-03-01 10:24:33.495,2020-03-01 10:29:22.893,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3213,Van Vorst Park,40.71848892,-74.047726625,42323,Subscriber,1969,0,10,1,6,Weekend,51,4
13,812,2020-03-01 10:27:45.220,2020-03-01 10:41:17.999,3213,Van Vorst Park,40.71848892,-74.047726625,3213,Van Vorst Park,40.71848892,-74.047726625,42374,Subscriber,1984,1,10,1,6,Weekend,36,13
10,642,2020-03-01 10:29:26.406,2020-03-01 10:40:09.042,3202,Newport PATH,40.7272235,-74.03375890000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42478,Customer,1969,0,10,1,6,Weekend,51,10
1,103,2020-03-01 10:30:17.053,2020-03-01 10:32:00.855,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42298,Subscriber,1964,2,10,1,6,Weekend,56,1
4,250,2020-03-01 10:30:32.294,2020-03-01 10:34:43.278,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42538,Subscriber,1981,1,10,1,6,Weekend,39,4
4,287,2020-03-01 10:33:21.726,2020-03-01 10:38:09.535,3185,City Hall,40.717732500000004,-74.04384499999999,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42484,Subscriber,1965,1,10,1,6,Weekend,55,4
11,685,2020-03-01 10:34:30.451,2020-03-01 10:45:56.245,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3694,Jackson Square,40.71113,-74.0789,42440,Subscriber,1997,2,10,1,6,Weekend,23,11
7,422,2020-03-01 10:35:51.277,2020-03-01 10:42:53.402,3212,Christ Hospital,40.734785818,-74.050443636,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,42299,Subscriber,1984,1,10,1,6,Weekend,36,7
3,239,2020-03-01 10:36:34.432,2020-03-01 10:40:33.645,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42428,Subscriber,1988,1,10,1,6,Weekend,32,3
3,235,2020-03-01 10:37:41.544,2020-03-01 10:41:36.788,3639,Harborside,40.71925170000001,-74.034234,3639,Harborside,40.71925170000001,-74.034234,42555,Subscriber,1984,1,10,1,6,Weekend,36,3
5,307,2020-03-01 10:40:39.697,2020-03-01 10:45:46.748,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3202,Newport PATH,40.7272235,-74.03375890000001,42219,Subscriber,1988,2,10,1,6,Weekend,32,5
7,426,2020-03-01 10:41:53.629,2020-03-01 10:48:59.900,3202,Newport PATH,40.7272235,-74.03375890000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42338,Subscriber,1992,1,10,1,6,Weekend,28,7
6,371,2020-03-01 10:44:49.556,2020-03-01 10:51:01.358,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3195,Sip Ave,40.73089709786179,-74.06391263008119,42235,Subscriber,1998,1,10,1,6,Weekend,22,6
6,409,2020-03-01 10:48:04.737,2020-03-01 10:54:54.418,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42391,Subscriber,1984,1,10,1,6,Weekend,36,6
22,1322,2020-03-01 10:48:34.548,2020-03-01 11:10:36.896,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42625,Subscriber,1988,1,10,1,6,Weekend,32,22
5,306,2020-03-01 10:48:47.452,2020-03-01 10:53:54.045,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3211,Newark Ave,40.72152515,-74.046304543,42111,Subscriber,1979,1,10,1,6,Weekend,41,5
2,163,2020-03-01 10:54:30.714,2020-03-01 10:57:14.440,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42160,Subscriber,1981,1,10,1,6,Weekend,39,2
53,3211,2020-03-01 10:56:19.035,2020-03-01 11:49:50.576,3202,Newport PATH,40.7272235,-74.03375890000001,3638,Washington St,40.7242941,-74.0354826,42219,Customer,1969,0,10,1,6,Weekend,51,53
3,189,2020-03-01 10:59:37.155,2020-03-01 11:02:46.551,3209,Brunswick St,40.7241765,-74.05065640000001,3211,Newark Ave,40.72152515,-74.046304543,42349,Subscriber,1984,1,10,1,6,Weekend,36,3
3,186,2020-03-01 10:59:43.909,2020-03-01 11:02:49.962,3209,Brunswick St,40.7241765,-74.05065640000001,3211,Newark Ave,40.72152515,-74.046304543,42356,Subscriber,1988,2,10,1,6,Weekend,32,3
4,248,2020-03-01 11:04:57.015,2020-03-01 11:09:05.432,3211,Newark Ave,40.72152515,-74.046304543,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,42260,Customer,1994,2,11,1,6,Weekend,26,4
2,165,2020-03-01 11:05:45.293,2020-03-01 11:08:30.919,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3187,Warren St,40.721123600000006,-74.03805095,42391,Subscriber,1972,1,11,1,6,Weekend,48,2
8,535,2020-03-01 11:08:25.817,2020-03-01 11:17:21.305,3187,Warren St,40.721123600000006,-74.03805095,3206,Hilltop,40.7311689,-74.0575736,42601,Subscriber,1968,1,11,1,6,Weekend,52,8
3,200,2020-03-01 11:10:03.325,2020-03-01 11:13:23.967,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,42385,Subscriber,1984,2,11,1,6,Weekend,36,3
6,383,2020-03-01 11:10:11.019,2020-03-01 11:16:34.646,3280,Astor Place,40.71928220070703,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008119,42264,Subscriber,1978,1,11,1,6,Weekend,42,6
6,410,2020-03-01 11:10:11.155,2020-03-01 11:17:01.177,3280,Astor Place,40.71928220070703,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008119,42157,Subscriber,1988,1,11,1,6,Weekend,32,6
